,white,black,hispanic,api,aian,2prace
over,0.2721710263178946,0.24443661971830988,0.2412165450121654,0.33027290448343083,0.146,0.27666666666666667
under,0.38781794242623735,0.3386088295687885,0.3269736842105263,0.40260869565217394,0.2675,0.0
