,white,black,hispanic,api,aian,2prace
over,0.2876071139854487,0.2571052631578947,0.26340302811824085,0.3544695259593679,0.16222222222222224,0.3325
under,0.4071711563939183,0.3752011494252873,0.356788643533123,0.4186625766871166,0.27740740740740744,0.0
