MN,DY,MAX,MIN,AVG,DEP,HDD,CDD,WTR,SNW,DPTH,AVG_SPD,MX_SPD,2MIN_DIR,MIN,PSBL,S-S,WX,PK_SPD,PK_DR
8,7,88,68,78,6,0,13,0.00,0.0,0,4.5,16,350,M,M,2,@,35,20
8,8,80,64,72,0,0,7,0.01,0.0,0,6.8,17,40,M,M,7,@,25,40
8,9,79,60,70,-2,0,5,0.10,0.0,0,9.2,24,360,M,M,5,@,32,20
8,10,79,56,68,-4,0,3,0.00,0.0,0,9.0,20,30,M,M,3,@,26,20
8,11,79,54,67,-5,0,2,0.00,0.0,0,2.4,10,110,M,M,5,1,14,270
8,12,68,61,65,-7,0,0,T,0.0,0,4.2,9,270,M,M,10,@,18,350
8,13,83,57,70,-2,0,5,0.00,0.0,0,6.2,16,290,M,M,3,@,23,310
8,14,78,59,69,-3,0,4,T,0.0,0,2.5,9,330,M,M,7,@,17,20
8,15,83,64,74,2,0,9,0.73,0.0,0,8.7,21,320,M,M,8,13,26,320
8,16,71,56,64,-7,1,0,0.00,0.0,0,13.4,25,320,M,M,6,@,31,320
8,17,74,50,62,-9,3,0,0.00,0.0,0,4.6,14,340,M,M,2,@,23,360
8,18,78,56,67,-4,0,2,0.02,0.0,0,4.8,15,320,M,M,6,@,20,320
8,19,77,57,67,-4,0,2,0.00,0.0,0,5.6,16,10,M,M,4,@,31,20
8,20,79,51,65,-6,0,0,0.00,0.0,0,2.1,13,350,M,M,1,1,21,340
8,21,80,56,68,-3,0,3,0.00,0.0,0,4.3,12,250,M,M,2,@,16,200
8,22,79,58,69,-1,0,4,0.04,0.0,0,7.6,20,70,M,M,5,38,24,160
8,23,86,70,78,8,0,13,0.01,0.0,0,10.2,32,180,M,M,9,3,48,210
8,24,89,66,78,8,0,13,0.00,0.0,0,9.1,24,170,M,M,2,@,30,160
8,25,76,66,71,1,0,6,0.06,0.0,0,5.0,15,230,M,M,8,1,20,230
8,26,86,67,77,7,0,12,0.01,0.0,0,3.6,12,290,M,M,5,18,15,250
8,27,87,61,74,5,0,9,0.00,0.0,0,3.7,13,330,M,M,1,1,20,350
8,28,84,66,75,6,0,10,0.00,0.0,0,8.6,16,80,M,M,5,@,20,110
8,29,93,69,81,12,0,16,0.00,0.0,0,10.0,17,160,M,M,0,@,24,160
8,30,92,72,82,14,0,17,0.00,0.0,0,10.9,20,220,M,M,4,@,25,220
8,31,86,63,75,7,0,10,0.00,0.0,0,8.2,15,10,M,M,3,@,26,30
